edad,nombre,nacionalidad
28,   lic.  mateo gómez    ,  br   
61,Maximo López  , argentno
55,"sánchez, jose    ",  argentino   
59,Néstor Lupo    ,ch
29, alonso gómez    ,otros
54,"Hernández,   Bastian ",  br   
18,"flores,    ignacio  ", chilena
48,esteban mango     ,  chileno
38," ingeniero  gonzalez,  vicente ",  chi   
57,julio contreras  ,  uy   
42, SEBASTIAN    RAMIREZ ,ar
48,"Ing Nicastro,    Bruno   ",  argentino   
38,"Gonzalez, Federico     ", uruguay
57,"alsina,    cristobal   ",  br   
62,"Centenera,  Amaro ",Uruguay
18,"gómez,  tomas  ",  br   
25,"lic.    mango, matias  ",  arg
22,"  RODRÍGUEZ,    PABLO  ",  uy   
34,"Aristizabal,    Néstor ", brasileño
51,"fertuchelli, fernando ", Uruguayo
63,"Marchet, Matias   ", brasileño
48,julián sánchez ,  uy   
57, Abel  Mango    , argentno
22,  joaquin  rodríguez , brasileño
31,"  Lic.   matas,    luis    ",ch
43,"   SÁNCHEZ,  DAMIAN   ",  uruguayo
56,"Castro,  Sebastian ", chilena
29,Dr. Luis Casullo ,ch
21,  prof.    david rodríguez   ,ch
42,"Gonzalez,   Javier    ",brazil
51,   Sebastian Rodríguez     ,  uy   
22,"lic    pérez, david   ",  brasilero
37,"   gonzález,    sebastian  ", chilena
20,"gonzález,   benjamin      ",uy
31,javier riglos , argentno
26,federico  perez ,argentino
33,MARTÍN RIVADAVIA   ,ch
56,"viey, maximo  ",  --
49,"garcía,   fernando    ", argentno
53,"   AGUIRRE, JORGE ",  --
65,"   Castañeda, Martin ",--
41,  doctor amaro    lupo    ,ch
59,Juan    Matas , uruguay
53,"Aguirre, Cristobal ",  arg
44,"aristizabal, victor    ", argentno
36,  jose hernández    ,otros
24,Angel    Amenabar  , Uruguayo
39,sebastian alsina       , otros
56, Felipe  Fernández  ,  brasilero
52,"gómez, sebastian   ", uruguay
64,emilio lópez  , Uruguayo
53,"Sanchez,    Eric    ",argentino
62,Emilio    González       ,otros
22,"Centenera, Ernesto      ", Brasil
56,Damian Hernández ,--
33,julián sánchez    , uruguay
48,"Rodríguez, Franco     ",brazil
38,  GUSTAVO   LICASTRO ,  arg
34,ing. luis viey ,  brasilero
42,carlos pérez , chileno
36,alonso ramirez      ,ar
25,Julián González    ,otros
48," doctor    gonzález, alexander ",brazil
26,Ingeniero Felipe Guevara     ,  arg
32,"Lic.  Centenera, Pablo ", chilena
34,   Emilio  Guevara   ,Uruguay
31,Fernando Fanon ,  --
48,  IGNACIO MARTÍN    , brasileño
19,"Lic. lópez, cristobal  ",uy
23,"Alzate, Juan  ",  brasilero
44,"LIC.   MENDOZA,  GASPAR ",Chileno
61,"  Nicastro,   Benjamin ",ar
45,"aguirre, maximo  ", uruguay
28,"orondo, luciano ",  Otros 
30,"Matas,    Pablo   ",brazil
58,"pérez, gaspar ", argentno
37,   fernando  sánchez    ,  uruguayo
47,"Fertuchelli, Felipe  ",  brasilero
59,"  fernández,    bruno ",ar
51,"  Doctor Pérez,   Fidel    ", brasileño
24,"  prof. garcía,   damian  ",  --
45,LEANDRO ARISTIZABAL ,brasil
35,   Ing Fidel Rodríguez ,brazil
29, lic vicente orondo ,ch
32,  maximiliano    pérez   ,brasil
57,   Gustavo  González    ,--
44,  Jonás Sánchez  , argentno
19,"   Ramirez, Benjamin ",  Otros 
42,"Hernández, Maximiliano  ",  Otros 
61,"  Gonzalez, Matias ",  Otros 
25,matias sánchez , uruguay
40,"casullo, juan    ",  argentino   
59,lic gaspar   alzate ,  argentino   
37,  Jose Hernández ,argentino
24, Señor   Gabriel    Pérez    ,  uy   
52,Jose   Pérez , brasileño
24,"centenera,   martin    ",brasil
63, diego    martínez    ,  argentino   
27,"MONTOYA, ANDRÉS  ",--
48,"  Castañeda, Leandro   ",  Otros 
53,carlos   fernández ,  chileno
38,"lic muñoz, diego   ",  uy   
47,Mateo  Casullo   ,argentino
28,"SANCHEZ, BRUNO    ", Brasil
39,bastian  fertuchelli ,Uruguay
24, carlos silva , chileno
42," aguirre, bruno ",  uruguayo
38,"  DR.   GARCÍA, ESTEBAN ",ar
44,Javier  Hernández  ,  arg
19," Alzate,    Nicolas    ",--
39,"señor gonzález,   juan ",  uruguayo
59,"Aristizabal, Julio   ",  chileno
53,  Ernesto Flores  ,  --
64,  ING JULIAN  GONZÁLEZ   ,--
42,"Licastro, Abel    ", argentno
24,"  martínez,   cristobal ", argentno
64,"Rivadavia,  Diego ", chileno
42,"matas, fidel    ",  br   
37,Victor  López , chilena
18,"  Ramirez, Diego ",  br   
48,"hernández,    daniel  ",  br   
20," sánchez,  lucas  ", Brasil
61, ingeniero  nicolas    aguirre    , Brasil
56,IGNACIO    SEPÚLVEDA , chileno
60,federico muñoz  ,argentino
20,"gonzález, ernesto ",  argentino   
50," Montoya, Martin   ",  argentino   
54,"garcía, matias   ",ar
56,"fernández,   bruno     ",  --
37,"rodríguez,    rodrigo ", chilena
63, javier fertuchelli       ,  chileno
52,Señor Carlos   Díaz       ,otros
33,Sebastian   Sacado ,  --
62, Rodrigo Flores   ,  br   
40,"García,    Daniel    ",  chileno
28,sebastian   castro , otros
57,  MAXIMILIANO SÁNCHEZ   ,  br   
40,"  LIC CASTAÑEDA, LUCAS ",  Otros 
26,"CASTRO,  LEANDRO ",otros
65,"FERNÁNDEZ,    JUAN   ",Uruguay
65,"doctor cardona, gabriel  ",  argentino   
31,"Rodríguez, Renato ",  uy   
52," Fabricci, Julio ",ch
47,   Néstor  Castañeda , Uruguayo
42,Julio Sánchez    ,ar
58,"  ing.    londoño,    juan    ", Uruguayo
39,"casullo, bastian ",  --
58,"SOTO, FELIPE    ",uy
62," Riglos,  Gustavo    ", argentina
36,Sebastian  Antonello  , argentno
18,"MARTÍNEZ, FEDERICO ",ch
25,señor  esteban   aristizabal   ,--
32,   lucas lupo    ,--
26,"Aristizabal,    David    ",  uy   
34,"SÁNCHEZ, FERNANDO ",  chi   
28,   VICENTE  MARTÍNEZ     ,Uruguay
33,maximiliano rodríguez ,brazil
55,"Mendoza, Ignacio  ", Uruguayo
48,"   González, Bastian ",ch
19,"  Fernández, Carlos ", Uruguayo
31,"  ingeniero alzate, alexander ",  br   
32,Franco    Centenera   ,  chileno
55, Carlos Sánchez  ,  chi   
49,"INGENIERO    VIEY, LUCIANO ", uruguay
43,"gómez, eric    ",  chileno
53,"ing. rivadavia, amaro  ", argentina
19,"   Prof. Rivadavia, Jorge ",brazil
22,fernando lupo   ,  chi   
49,camilo  ramirez ,  uruguayo
64,francisco    lópez ,ar
42,"   LIC.   GÓMEZ, CARLOS  ",  brasilero
38,leandro rivadavia , Uruguayo
24,  Fidel    Guevara    , argentina
61,Andrés    Marchet     , chileno
55,"   Rodríguez, Agustin ",  uy   
21,"Lic. gonzález, abel   ",  --
53,Sr.   Maximo Riglos ,argentino
18,   lic. pablo martínez , Brasil
64,"Dr. marchet, rodolfo ",  argentino   
61,alonso  soto , Brasil
53,  sebastian riglos ,otros
58,jonás lupo ,  chileno
31,"  sepúlveda, pablo ", chilena
47,"Ing  Flores,  Alonso   ",argentino
45,GABRIEL RIGLOS   , otros
49,emilio castro    , otros
58,"PROF.   MUÑOZ, ESTEBAN   ",uy
44,   felipe  gonzález ,ch
62,"centenera, tomas   ",  uruguayo
43,alexis viey       ,Chileno
35,RODOLFO FABRICCI ,brazil
61,DR.   ALEXIS  GUTIERREZ  ,  uy   
46," Silva, Fidel    ",brazil
33, cristian  sánchez , chilena
58,"fabricci,    carlos ",argentino
36,JULIO GARCÍA ,ar
30,"Londoño,   Sebastian   ",brazil
29,sr. nicolas martínez ,  --
60,"   LIC. ALZATE, AGUSTIN ",ar
31,  alonso montoya ,brasil
21," García, Fidel ",  brasilero
32,"Pérez, Jose   ",argentino
56,"   RAMIREZ, JULIO   ",ar
49,"  martínez, carlos   ", chileno
38,   sebastian  fernández    , argentina
38,jorge fanon ,uy
35,"cardona,    lucas ",argentino
51,  fernando contreras , Brasil
52,"Antonello,  Andrés  ",  arg
38, matias rodríguez  , argentno
42,prof. diego silva , uruguay
28,"castro, luis  ",  arg
31,"Centenera,  Daniel    ",ch
61,   jose fanon ,Chileno
50,"  Centenera, Luciano ",Uruguay
19,JONÁS ROJAS , argentina
23,  Tomas   Castañeda ,  uruguayo
65,DR. LUCAS MARTÍNEZ ,  chi   
37,"Londoño, Alonso ", otros
53,Amaro Martínez    ,  argentino   
60, Julian González     ,  Otros 
60,lic mateo   viey    ,  uruguayo
39,sebastian   martínez   ,Chileno
52,   julián antonello     ,  Otros 
30,Jonás López  , argentina
53, Emilio Centenera ,  arg
49,  sr. gustavo montoya   ,--
56,"mendoza, gaspar ",ar
27,vicente   fertuchelli , chilena
49, luciano díaz  ,ch
40, BRUNO    SANCHEZ   , chilena
35,"Mactas, Rodrigo    ", brasileño
28, luciano díaz ,otros
19,"Dr.  lópez, daniel    ",ch
35, carlos ramirez ,--
35,"flores, sebastian ",  argentino   
35,vicente rojas ,  chi   
34,"   Lic    Casullo, Fernando   ",brasil
29,   Andrés   Mactas ,ar
42," Ing. Pérez, Carlos    ",  arg
41,"Guevara, Julio    ",otros
58,FRANCO ORONDO    ,  br   
28,  Sebastian López   , otros
32,lucas gonzález  , argentno
56,"fernández, federico ",  brasilero
28,"  rodríguez, amaro    ", chileno
34,   ingeniero    mateo gonzález   , brasileño
30,"silva, matias ", otros
18,   ernesto mactas    , uruguay
34,"sanchez,   tomas    ",  chi   
46,"Lic.  Castro, Cristobal    ",brasil
22,"ing soto,  gustavo  ",--
31,néstor    gonzález , argentina
28," martínez, lucas ", uruguay
62,"rodríguez, renato    ",brasil
55,"LIC. MANGO,   DAMIAN ",--
59,"RIGLOS, CARLOS    ",uy
59, alexander sacado      , chilena
35,Lic.   Federico Gutierrez    ,Chileno
19," García, Matias   ",  uy   
62,julián díaz    , uruguay
62,"Aristizabal,   Carlos   ",  arg
63,   santiago   matas , Brasil
18,"Lic. Rojas, Alexander  ",  brasilero
19,emilio    gonzález   , argentina
18,tomas sanchez , Uruguayo
56,"   FERTUCHELLI, VICENTE ",  arg
22,"Lic. Rodríguez,   Amaro ",brasil
31,"lópez, vicente    ", Brasil
31,amaro soto   , Brasil
22,  nicolas martín ,argentino
65,rodolfo gonzález    ,  arg
48,BRUNO AGUIRRE , Brasil
42,   Ing. Bastian Díaz    ,uy
22,"SR.    VIEY, RODRIGO ",otros
18," londoño, maximo ",  argentino   
23,Señor Juan Centenera    ,--
60, ABEL RODRÍGUEZ   ,brazil
50,"SEÑOR RIGLOS, RENATO  ",otros
65,"garcía,    joaquin ",Uruguay
27,"DÍAZ,    GASPAR   ",Chileno
54, franco mactas ,--
22,   BRUNO   SÁNCHEZ    , uruguay
37,"   muñoz, camilo ",  Otros 
33,"  fernández, martin    ", chilena
47,Franco   Pérez  , argentina
48,"lupo,  ignacio ",  argentino   
53, Ing Sebastian  López    ,Chileno
34,"  Licenciado  García, Alexis   ", argentno
23,   fidel riglos  , argentina
35," aguirre,    leandro ",  chi   
43,"gonzález, matias    ",ch
35,  doctor    juan fernández ,otros
21,bastian hernández ,Chileno
53,"rodríguez,   camilo   ",  br   
37,gabriel sepúlveda   ,uy
24," lupo,    fidel ",uy
45,"gonzález, martin   ",ch
20,"GÓMEZ,   SEBASTIAN     ",ch
43, emilio mango ,--
53,  jorge pérez   ,otros
27,Francisco    Martínez     ,otros
59,"   Soto, Renato ",--
65,"gonzález,    francisco ",  arg
62,"señor  rodríguez, martin ",  uruguayo
27,lic. vicente pérez   ,  br   
39, ing renato  gonzález ,  br   
59,"Ramirez, Felipe    ",  Otros 
32,"Rodríguez, Renato ", argentno
46,   Lic. Felipe    Marchet ,  argentino   
31,Luis   Sánchez     ,brazil
18,ernesto  rodríguez   ,otros
39,   AMARO RODRÍGUEZ   ,  arg
21,bastian   mango    , otros
36,"   Flores,   Sebastian ",  uy   
23,amaro pérez ,  --
44,vicente  orondo , otros
24,"  viey,    francisco    ", Brasil
50, Diego    González ,  Otros 
38,  carlos   casullo ,  chileno
45,Leandro Mactas   ,  Otros 
48,ERIC   FANON    , chilena
36,"Rojas,  Vicente   ", chileno
59, Benjamin Alzate ,otros
63,MARTIN    PÉREZ  , Uruguayo
35,"   Antonello, Bruno   ",brazil
25, Daniel Gómez    , chilena
44,   Luciano    García ,brasil
23," PROF. GUTIERREZ, BENJAMIN ",  brasilero
35,"MARCHET, LUCIANO ",Chileno
53,mateo licastro ,ch
25, ing. cristobal    gonzález    , chilena
29,"Contreras,    Federico  ",  Otros 
59,ERIC   RODRÍGUEZ    , otros
51,lic.   carlos matas ,uy
34,   joaquin sanchez , chileno
36,"  rodríguez,   julián    ",argentino
59,"Castañeda,   Cristian   ",  br   
62,"   gonzález,   martín   ",uy
21,"  fertuchelli,    santiago   ",otros
59,"López,  Sebastian ", brasileño
24,"Fernández, Fernando  ",ar
43,GASPAR MARTÍNEZ    ,brazil
19,   Lic. sebastian gonzález  ,Chileno
61,"  RIVADAVIA,    JAVIER  ", uruguay
27,sr. alexander    castro   ,  chi   
55,"Ramirez, Rodrigo ",otros
23,"riglos, esteban   ",  chileno
55,"Fabricci,    Abel    ",  arg
28, agustin gómez    ,argentino
43,AMARO FERNÁNDEZ       , Brasil
33,   AMARO ORONDO    ,Uruguay
51,  david aristizabal    , Uruguayo
46,"   Aguirre, Leandro  ",ar
62,"   martínez,  angel ",  chi   
31," ing castañeda, leandro    ", argentno
48, David Rojas    , chilena
37,"gómez, carlos   ",  uy   
40, VICTOR PÉREZ  ,  chileno
39,"ingeniero sepúlveda,   jorge ", argentno
29,JORGE ROJAS   , chileno
59,maximiliano  fanon ,  argentino   
56, jonás sepúlveda ,ar
59,   alonso  lópez ,  uy   
26,"Dr. aristizabal,  jonás ", chilena
63,matias sanchez ,ch
53,julián garcía      ,Chileno
49,"CONTRERAS, TOMAS    ",brazil
22,"cardona, jose  ",brasil
43,Fernando  Sánchez ,  chi   
35,   rodolfo garcía , otros
55,"señor londoño, alexis  ", argentno
44,"  díaz, fernando    ",  argentino   
24,  NICOLAS  GONZALEZ ,  argentino   
38,"martínez,   victor ",Chileno
65,"  rojas, sebastian    ", Brasil
42,Doctor   Fernando   Antonello  ,Uruguay
65,Bruno    González ,  chileno
35,"ROJAS,    CAMILO ",ar
54,julián aguirre ,argentino
33,damian sánchez , otros
24,"  PÉREZ,   ERNESTO  ", Uruguayo
59,federico mendoza , argentno
44,"   Martínez, Benjamin ",  uy   
40,renato aristizabal    ,otros
22," casullo, alexander ",brazil
43,   lic thomas   martín ,--
54,Eric González   ,  chi   
20,"  fanon,    luciano    ",Uruguay
18,"  fanon,  bastian    ", Brasil
41,"martínez, thomas  ",Uruguay
59,"   antonello, vicente ", Brasil
19,"viey,    lucas ",  Otros 
48,Jorge Pérez ,  chi   
49,renato rivadavia       ,ar
33," GÓMEZ, ESTEBAN  ",  br   
24,"  alzate,    angel ",  arg
34,CARLOS MUÑOZ   ,  brasilero
57, emilio mendoza , Uruguayo
60, matias pérez    ,otros
40,"Muñoz, Sebastian   ",  uruguayo
21,GABRIEL    GONZÁLEZ  ,brazil
25," martínez,  jonás    ",  argentino   
20,benjamin aristizabal ,  br   
47,"López,    Jorge    ",ch
33, maximo perez ,Chileno
28,   gustavo licastro     , Uruguayo
58, lucas    ramirez  ,brazil
39,jonás lópez    , Uruguayo
34,Juan Martínez   ,  arg
29,   maximiliano aguirre    ,Chileno
42,"soto,    franco ",Uruguay
55,"  González,  Eric  ",uy
18,"  Centenera,    Jorge   ", otros
62, juan   gonzález      ,  chileno
44,carlos soto ,otros
61,"cardona, renato ",  argentino   
29,  Alexander  López  ,Uruguay
45," señor rodríguez,    néstor    ",--
62,"  Sanchez, Eric  ",  brasilero
42,"antonello,  leandro  ", chilena
41,"Soto, Juan ", chilena
36,DAVID RODRÍGUEZ  ,  chi   
35,rodrigo viey , Uruguayo
41,"Señor Muñoz, Néstor ", chilena
65,prof. martin lópez   , otros
55,"señor   garcía, ignacio      ", argentno
59," castro,   pablo    ",  --
44,señor federico  muñoz   , chilena
61,matias rodríguez  , otros
56, ignacio castañeda   ,  arg
63,   felipe fanon ,  uy   
32,"silva, gabriel   ",  uruguayo
21,"Castañeda, Lucas  ",  chileno
55,"  Sepúlveda, Gabriel ", argentno
48,alexis    fertuchelli ,  brasilero
51,"  centenera, sebastian ",  arg
24," Sánchez,   Ignacio ", argentno
53,julián lópez  , uruguay
31,ing. fidel pérez , chileno
36,"   matas, agustin ",  brasilero
45, matias   centenera  , otros
33,"díaz,  nicolas ", chilena
29,Martín  Gómez  ,--
39,"nicastro,   andrés  ",  brasilero
35,"montoya,    maximo ",ch
38,alexander    castañeda ,  brasilero
32,  alexander  gonzález , chilena
21,   Luciano Mango ,Uruguay
57,"  Mactas,  Gustavo   ",ar
47," Fernández, Jorge ",  arg
37, agustin   lópez ,  --
58, SR. JORGE GONZALEZ   , argentno
64,gustavo fanon  ,  Otros 
29,Bastian Licastro    ,brazil
29," INGENIERO NICASTRO,  JAVIER ",Chileno
32,Dr. bruno díaz ,Chileno
24,   luis pérez ,  br   
19,MATIAS   SOTO ,otros
39,ingeniero   daniel gutierrez , otros
65,"   mango, abel   ",argentino
21,Julian Díaz       , chilena
48,VICENTE FERNÁNDEZ  ,  brasilero
48,"cardona, rodrigo   ", Brasil
19," GÓMEZ, MARTÍN   ",  chi   
19,"Dr. licastro,   tomas    ",uy
51,"soto,   cristian   ",  brasilero
54,"rodríguez,    felipe     ",  Otros 
27,fernando licastro   ,uy
35,"  nicastro,  juan    ",brazil
28,"Marchet, Alonso    ", otros
58,pablo rodríguez ,  chi   
65," fanon, fidel ", Brasil
20,"castro, carlos ",ar
30,"  viey,    bastian     ",Chileno
59,   THOMAS FERNÁNDEZ   ,brazil
44,"perez, ignacio  ",brasil
26,   Ingeniero Amaro Sepúlveda ,--
49,"fabricci, matias    ",brazil
35,martin díaz ,Uruguay
33,"rodríguez, lucas     ",brazil
19,prof. juan martínez ,ch
23, damian soto    ,  argentino   
60, francisco marchet , chileno
54,"   Ramirez,   Felipe      ",  br   
23,LEANDRO GÓMEZ ,ar
36,"orondo, benjamin    ",  br   
51,"Antonello,  Gustavo ",  uy   
45,"GÓMEZ, SANTIAGO    ", chilena
44,"ING. MARTÍNEZ,    MAXIMO  ",  chi   
57,Lic. Diego Lupo      ,  brasilero
24,  Doctor    Pablo García , argentina
24,  Javier  González    ,Chileno
34,"martínez, carlos ", Brasil
48,"   garcía, jonás ", argentina
43,"gonzález,  néstor ", argentno
38,"  Ingeniero Soto, Ernesto   ",ch
22,   RODOLFO   LICASTRO ,brasil
53," rojas, jose     ",  br   
27,abel contreras , Uruguayo
52,"cardona, alonso   ",Chileno
40,amaro    gonzález   , argentno
20,"Gonzalez, Lucas   ",  argentino   
29," sánchez,    maximiliano ",  chi   
30,Ing. Juan  Fernández     ,  --
19,JUAN    ORONDO       ,otros
54,"   Licenciado Aristizabal,   Vicente ", uruguay
32,"PÉREZ, TOMAS    ",  brasilero
58,"Rodríguez, Alexander ",  chi   
49,"   Fabricci,    Carlos ",brazil
44,   victor  soto    ,argentino
32,"  mactas, diego   ",otros
47,"rodríguez,    nicolas   ", chileno
31,"rodríguez, alexis     ",  chileno
19,"   gonzález,    luis ",  uy   
51,"Mango, Julián    ",Uruguay
47,maximo hernández ,  chi   
43,"ing riglos,  andrés ", otros
44, Ernesto Contreras    ,Chileno
57,Jorge Gutierrez  ,  br   
43,  Maximiliano    García   ,otros
38,  JOAQUIN DÍAZ , Brasil
28,"Sacado,  Rodrigo ", Uruguayo
49,"montoya,  camilo   ", Uruguayo
61,Francisco García , chilena
50,  bastian   mactas ,Uruguay
53,ALONSO FERTUCHELLI , chilena
65,fidel centenera   , chilena
58,martin viey    ,  uy   
26,lucas    ramirez    , otros
33,doctor pablo  fertuchelli , Uruguayo
49,"   MENDOZA,   VICTOR ",Chileno
31,"Ing   Fernández, Julio  ",  uy   
56,   sebastian perez   ,argentino
34,"  LICASTRO, CRISTIAN  ",ar
51, lic julián matas ,  arg
34,"matas, martin ",argentino
18,"lic    gonzález, esteban   ",brasil
29,"Sánchez,    Damian ", chilena
55,"sánchez,  sebastian ", uruguay
27,"lupo,    lucas    ",  Otros 
44,matias garcía    ,otros
54," mactas,    francisco   ",  uy   
46,"  doctor cardona, fernando  ", argentno
25,lucas   pérez ,Chileno
39,"alsina,   julián      ",  chi   
43,"ing.    rodríguez,  gustavo ",otros
43,   prof. maximiliano garcía   , brasileño
18,  emilio orondo ,brasil
33,nicolas    rodríguez ,  arg
42,"sánchez, juan ",Chileno
27,"  fanon, lucas  ",  Otros 
64,  nicolas mango , brasileño
19,matias lupo  , uruguay
51,"gutierrez,    luciano    ",  uruguayo
63, néstor    fanon ,argentino
43,   Emilio Gómez ,Chileno
36,"mactas, matias ",--
33,"ing.   pérez,    pablo    ",  br   
43,   martin rodríguez    ,ch
59,Fidel Fernández  ,  brasilero
20,Diego   Castro    ,uy
24,"Lic Fertuchelli, Benjamin     ", uruguay
45,camilo   gonzalez    , otros
27,"Muñoz, Victor ",  brasilero
24,"doctor castañeda,   joaquin ",otros
59,   Néstor    Casullo  , chilena
56,julian martín  ,--
55,"  sánchez, camilo    ",  arg
21,Dr. jose gómez    ,  brasilero
47,"garcía, federico   ",brasil
26, damian antonello   , chilena
44,Julio    Aguirre     ,Uruguay
41,"sánchez, francisco ",brasil
53,"Alsina,   Maximiliano ", Uruguayo
45," Rojas, David  ", chileno
57,  SR.   JULIO  MARTÍNEZ  ,  uy   
63,"Alsina, Jose  ",Uruguay
32,bruno    fertuchelli ,  chileno
20,"   gonzález,    julián ",--
24, francisco    rodríguez    ,brazil
38,"fernández, martín ",  arg
47,Jorge    Gutierrez   ,  chileno
62,mateo sánchez  ,Chileno
27,fidel   pérez ,  chileno
29,thomas   sánchez  , Brasil
28,Joaquin    Cardona ,uy
50,Dr. Thomas Gutierrez      , Uruguayo
55,"Matas, Rodolfo  ", Uruguayo
47,"aguirre, julián ",--
59,bastian rodríguez ,  chileno
44,"Pérez, Jose   ",otros
25,"licenciado gómez, francisco ",ar
27,Lic   Benjamin Fanon , uruguay
28,jose flores    ,  uy   
47,   MAXIMILIANO   GARCÍA ,Chileno
61,   lucas   rodríguez   , chileno
19,"  García, Ernesto  ",otros
53,"Flores,    Pablo ",  arg
46, bastian    gómez     ,uy
60," SEPÚLVEDA, LUCAS    ",  Otros 
28, eric   martínez ,  argentino   
55,matias gonzález     ,argentino
47,"  Viey,    Sebastian ", otros
26,Federico Martín , chilena
37,Juan  Orondo   , chileno
31,  damian fabricci ,otros
21,"  lópez,    alexander     ",brasil
57,LIC. IGNACIO CENTENERA ,  --
48,felipe sacado   ,ch
38,"PÉREZ, JUAN    ",brazil
38,LEANDRO  GÓMEZ , brasileño
62,"ing londoño,   leandro ", argentno
33,victor castañeda       ,--
35,fidel   gonzalez    ,  argentino   
62,matias gonzález   , argentno
46,RENATO DÍAZ  ,otros
51,rodrigo lópez ,ar
34,ALEXANDER    CASTAÑEDA    ,Uruguay
18,   jose londoño  ,brazil
22,  thomas ramirez ,  arg
28,doctor jose antonello    ,ar
25,alexis   gómez , brasileño
23,"lic. mango, eric ", otros
58,  RODRIGO GÓMEZ  ,  chi   
37,"  mango, luciano ",  br   
24,"  RODRÍGUEZ,  NÉSTOR  ",Uruguay
19,  Pablo Muñoz   ,uy
37,"López, Francisco ",  chileno
48,felipe lupo ,  chi   
39,"martín,   gabriel   ", argentno
45,"perez, sebastian   ",  --
48,Lic Gaspar González   ,Uruguay
23,"Lic. Aristizabal, Leandro ",  argentino   
33,GASPAR  RODRÍGUEZ    ,--
58,amaro montoya    ,  chileno
28,Lic. Jorge Rodríguez     ,uy
31,   ING. EMILIO    SÁNCHEZ   ,otros
52,Renato Rojas ,brazil
27,jorge fernández , otros
64,   RENATO ARISTIZABAL  ,  --
20,  DR. TOMAS  MARCHET , uruguay
44,"  lic. gómez, sebastian     ",  br   
62,daniel flores , argentina
53,sr.  juan guevara ,Chileno
33, Matias   Gutierrez ,brasil
41,jorge guevara     ,  br   
37,"Amenabar, Felipe ", brasileño
58,  leandro centenera  ,argentino
47,  licenciado andrés alzate    , Uruguayo
56,  Licenciado   Francisco Rodríguez , brasileño
64,ing   leandro amenabar    ,  chileno
61,"  LÓPEZ, ERNESTO    ",brasil
23,felipe    ramirez , Uruguayo
64,"Rojas, Juan  ",argentino
64,"PÉREZ,  CAMILO   ", brasileño
65,Abel Silva     , argentina
32,"  Sacado,  Benjamin    ", brasileño
53,"montoya, fernando   ", Brasil
