titulo,nombre,apellido,edad,nacionalidad
,Bruno,Fernández,59,Argentina
Dr.,Fidel,Pérez,51,Brasileña
Prof.,Damian,García,24,
,Leandro,Aristizabal,45,Brasileña
Ing.,Fidel,Rodríguez,35,Brasileña
Lic.,Vicente,Orondo,29,Chilena
,Maximiliano,Pérez,32,Brasileña
,Gustavo,González,57,
,Jonás,Sánchez,44,Argentina
,Benjamin,Ramirez,19,Otra
,Maximiliano,Hernández,42,Otra
,Matias,Gonzalez,61,Otra
,Matias,Sánchez,25,Uruguaya
,Juan,Casullo,40,Argentina
Lic.,Gaspar,Alzate,59,Argentina
,Jose,Hernández,37,Argentina
,Gabriel,Pérez,24,Uruguaya
,Jose,Pérez,52,Brasileña
,Martin,Centenera,24,Brasileña
,Diego,Martínez,63,Argentina
,Andrés,Montoya,27,
,Leandro,Castañeda,48,Otra
,Carlos,Fernández,53,Chilena
Lic.,Diego,Muñoz,38,Uruguaya
,Mateo,Casullo,47,Argentina
,Bruno,Sanchez,28,Brasileña
,Bastian,Fertuchelli,39,Uruguaya
,Carlos,Silva,24,Chilena
,Bruno,Aguirre,42,Uruguaya
Dr.,Esteban,García,38,Argentina
,Javier,Hernández,44,Argentina
,Nicolas,Alzate,19,
,Juan,González,39,Uruguaya
,Julio,Aristizabal,59,Chilena
,Ernesto,Flores,53,
Ing.,Julian,González,64,
,Abel,Licastro,42,Argentina
,Cristobal,Martínez,24,Argentina
,Diego,Rivadavia,64,Chilena
,Fidel,Matas,42,Brasileña
,Victor,López,37,Chilena
,Diego,Ramirez,18,Brasileña
,Daniel,Hernández,48,Brasileña
,Lucas,Sánchez,20,Brasileña
Ing.,Nicolas,Aguirre,61,Brasileña
,Ignacio,Sepúlveda,56,Chilena
,Federico,Muñoz,60,Argentina
,Ernesto,González,20,Argentina
,Martin,Montoya,50,Argentina
,Matias,García,54,Argentina
,Bruno,Fernández,56,
,Rodrigo,Rodríguez,37,Chilena
,Javier,Fertuchelli,63,Chilena
,Carlos,Díaz,52,Otra
,Sebastian,Sacado,33,
,Rodrigo,Flores,62,Brasileña
,Daniel,García,40,Chilena
,Sebastian,Castro,28,Otra
,Maximiliano,Sánchez,57,Brasileña
Lic.,Lucas,Castañeda,40,Otra
,Leandro,Castro,26,Otra
,Juan,Fernández,65,Uruguaya
Dr.,Gabriel,Cardona,65,Argentina
,Renato,Rodríguez,31,Uruguaya
,Julio,Fabricci,52,Chilena
,Néstor,Castañeda,47,Uruguaya
,Julio,Sánchez,42,Argentina
Ing.,Juan,Londoño,58,Uruguaya
,Bastian,Casullo,39,
,Felipe,Soto,58,Uruguaya
,Gustavo,Riglos,62,Argentina
,Sebastian,Antonello,36,Argentina
,Federico,Martínez,18,Chilena
,Esteban,Aristizabal,25,
,Lucas,Lupo,32,
,David,Aristizabal,26,Uruguaya
,Fernando,Sánchez,34,Chilena
,Vicente,Martínez,28,Uruguaya
,Maximiliano,Rodríguez,33,Brasileña
,Ignacio,Mendoza,55,Uruguaya
,Bastian,González,48,Chilena
,Carlos,Fernández,19,Uruguaya
Ing.,Alexander,Alzate,31,Brasileña
,Franco,Centenera,32,Chilena
,Carlos,Sánchez,55,Chilena
Ing.,Luciano,Viey,49,Uruguaya
,Eric,Gómez,43,Chilena
Ing.,Amaro,Rivadavia,53,Argentina
Prof.,Jorge,Rivadavia,19,Brasileña
,Fernando,Lupo,22,Chilena
,Camilo,Ramirez,49,Uruguaya
,Francisco,López,64,Argentina
Lic.,Carlos,Gómez,42,Brasileña
,Leandro,Rivadavia,38,Uruguaya
,Fidel,Guevara,24,Argentina
,Andrés,Marchet,61,Chilena
,Agustin,Rodríguez,55,Uruguaya
Lic.,Abel,González,21,
,Maximo,Riglos,53,Argentina
Lic.,Pablo,Martínez,18,Brasileña
Dr.,Rodolfo,Marchet,64,Argentina
,Alonso,Soto,61,Brasileña
,Sebastian,Riglos,53,Otra
,Jonás,Lupo,58,Chilena
,Pablo,Sepúlveda,31,Chilena
Ing.,Alonso,Flores,47,Argentina
,Gabriel,Riglos,45,Otra
,Emilio,Castro,49,Otra
Prof.,Esteban,Muñoz,58,Uruguaya
,Felipe,González,44,Chilena
,Tomas,Centenera,62,Uruguaya
,Alexis,Viey,43,Chilena
,Rodolfo,Fabricci,35,Brasileña
Dr.,Alexis,Gutierrez,61,Uruguaya
,Fidel,Silva,46,Brasileña
,Cristian,Sánchez,33,Chilena
,Carlos,Fabricci,58,Argentina
,Julio,García,36,Argentina
,Sebastian,Londoño,30,Brasileña
,Nicolas,Martínez,29,
Lic.,Agustin,Alzate,60,Argentina
,Alonso,Montoya,31,Brasileña
,Fidel,García,21,Brasileña
,Jose,Pérez,32,Argentina
,Julio,Ramirez,56,Argentina
,Carlos,Martínez,49,Chilena
,Sebastian,Fernández,38,Argentina
,Jorge,Fanon,38,Uruguaya
,Lucas,Cardona,35,Argentina
,Fernando,Contreras,51,Brasileña
,Andrés,Antonello,52,Argentina
,Matias,Rodríguez,38,Argentina
Prof.,Diego,Silva,42,Uruguaya
,Luis,Castro,28,Argentina
,Daniel,Centenera,31,Chilena
,Jose,Fanon,61,Chilena
,Luciano,Centenera,50,Uruguaya
,Jonás,Rojas,19,Argentina
,Tomas,Castañeda,23,Uruguaya
Dr.,Lucas,Martínez,65,Chilena
,Alonso,Londoño,37,Otra
,Amaro,Martínez,53,Argentina
,Julian,González,60,Otra
Lic.,Mateo,Viey,60,Uruguaya
,Sebastian,Martínez,39,Chilena
,Julián,Antonello,52,Otra
,Jonás,López,30,Argentina
,Emilio,Centenera,53,Argentina
,Gustavo,Montoya,49,
,Gaspar,Mendoza,56,Argentina
,Vicente,Fertuchelli,27,Chilena
,Luciano,Díaz,49,Chilena
,Bruno,Sanchez,40,Chilena
,Rodrigo,Mactas,35,Brasileña
,Luciano,Díaz,28,Otra
Dr.,Daniel,López,19,Chilena
,Carlos,Ramirez,35,
,Sebastian,Flores,35,Argentina
,Vicente,Rojas,35,Chilena
Lic.,Fernando,Casullo,34,Brasileña
,Andrés,Mactas,29,Argentina
Ing.,Carlos,Pérez,42,Argentina
,Julio,Guevara,41,Otra
,Franco,Orondo,58,Brasileña
,Sebastian,López,28,Otra
,Lucas,González,32,Argentina
,Federico,Fernández,56,Brasileña
,Amaro,Rodríguez,28,Chilena
Ing.,Mateo,González,34,Brasileña
,Matias,Silva,30,Otra
,Ernesto,Mactas,18,Uruguaya
,Tomas,Sanchez,34,Chilena
Lic.,Cristobal,Castro,46,Brasileña
Ing.,Gustavo,Soto,22,
,Néstor,González,31,Argentina
,Lucas,Martínez,28,Uruguaya
,Renato,Rodríguez,62,Brasileña
Lic.,Damian,Mango,55,
,Carlos,Riglos,59,Uruguaya
,Alexander,Sacado,59,Chilena
Lic.,Federico,Gutierrez,35,Chilena
,Matias,García,19,Uruguaya
,Julián,Díaz,62,Uruguaya
,Carlos,Aristizabal,62,Argentina
,Santiago,Matas,63,Brasileña
Lic.,Alexander,Rojas,18,Brasileña
,Emilio,González,19,Argentina
,Tomas,Sanchez,18,Uruguaya
,Vicente,Fertuchelli,56,Argentina
Lic.,Amaro,Rodríguez,22,Brasileña
,Vicente,López,31,Brasileña
,Amaro,Soto,31,Brasileña
,Nicolas,Martín,22,Argentina
,Rodolfo,González,65,Argentina
,Bruno,Aguirre,48,Brasileña
Ing.,Bastian,Díaz,42,Uruguaya
,Rodrigo,Viey,22,Otra
,Maximo,Londoño,18,Argentina
,Juan,Centenera,23,
,Abel,Rodríguez,60,Brasileña
,Renato,Riglos,50,Otra
,Joaquin,García,65,Uruguaya
,Gaspar,Díaz,27,Chilena
,Franco,Mactas,54,
,Bruno,Sánchez,22,Uruguaya
,Camilo,Muñoz,37,Otra
,Martin,Fernández,33,Chilena
,Franco,Pérez,47,Argentina
,Ignacio,Lupo,48,Argentina
Ing.,Sebastian,López,53,Chilena
Lic.,Alexis,García,34,Argentina
,Fidel,Riglos,23,Argentina
,Leandro,Aguirre,35,Chilena
,Matias,González,43,Chilena
Dr.,Juan,Fernández,35,Otra
,Bastian,Hernández,21,Chilena
,Camilo,Rodríguez,53,Brasileña
,Gabriel,Sepúlveda,37,Uruguaya
,Fidel,Lupo,24,Uruguaya
,Martin,González,45,Chilena
,Sebastian,Gómez,20,Chilena
,Emilio,Mango,43,
,Jorge,Pérez,53,Otra
,Francisco,Martínez,27,Otra
,Renato,Soto,59,
,Francisco,González,65,Argentina
,Martin,Rodríguez,62,Uruguaya
Lic.,Vicente,Pérez,27,Brasileña
Ing.,Renato,González,39,Brasileña
,Felipe,Ramirez,59,Otra
,Renato,Rodríguez,32,Argentina
Lic.,Felipe,Marchet,46,Argentina
,Luis,Sánchez,31,Brasileña
,Ernesto,Rodríguez,18,Otra
,Amaro,Rodríguez,39,Argentina
,Bastian,Mango,21,Otra
,Sebastian,Flores,36,Uruguaya
,Amaro,Pérez,23,
,Vicente,Orondo,44,Otra
,Francisco,Viey,24,Brasileña
,Diego,González,50,Otra
,Carlos,Casullo,38,Chilena
,Leandro,Mactas,45,Otra
,Eric,Fanon,48,Chilena
,Vicente,Rojas,36,Chilena
,Benjamin,Alzate,59,Otra
,Martin,Pérez,63,Uruguaya
,Bruno,Antonello,35,Brasileña
,Daniel,Gómez,25,Chilena
,Luciano,García,44,Brasileña
Prof.,Benjamin,Gutierrez,23,Brasileña
,Luciano,Marchet,35,Chilena
,Mateo,Licastro,53,Chilena
Ing.,Cristobal,González,25,Chilena
,Federico,Contreras,29,Otra
,Eric,Rodríguez,59,Otra
Lic.,Carlos,Matas,51,Uruguaya
,Joaquin,Sanchez,34,Chilena
,Julián,Rodríguez,36,Argentina
,Cristian,Castañeda,59,Brasileña
,Martín,González,62,Uruguaya
,Santiago,Fertuchelli,21,Otra
,Sebastian,López,59,Brasileña
,Fernando,Fernández,24,Argentina
,Gaspar,Martínez,43,Brasileña
Lic.,Sebastian,González,19,Chilena
,Javier,Rivadavia,61,Uruguaya
,Alexander,Castro,27,Chilena
,Rodrigo,Ramirez,55,Otra
,Esteban,Riglos,23,Chilena
,Abel,Fabricci,55,Argentina
,Agustin,Gómez,28,Argentina
,Amaro,Fernández,43,Brasileña
,Amaro,Orondo,33,Uruguaya
,David,Aristizabal,51,Uruguaya
,Leandro,Aguirre,46,Argentina
,Angel,Martínez,62,Chilena
Ing.,Leandro,Castañeda,31,Argentina
,David,Rojas,48,Chilena
,Carlos,Gómez,37,Uruguaya
,Victor,Pérez,40,Chilena
Ing.,Jorge,Sepúlveda,39,Argentina
,Jorge,Rojas,29,Chilena
,Maximiliano,Fanon,59,Argentina
,Jonás,Sepúlveda,56,Argentina
,Alonso,López,59,Uruguaya
Dr.,Jonás,Aristizabal,26,Chilena
,Matias,Sanchez,63,Chilena
,Julián,García,53,Chilena
,Tomas,Contreras,49,Brasileña
,Jose,Cardona,22,Brasileña
,Fernando,Sánchez,43,Chilena
,Rodolfo,García,35,Otra
,Alexis,Londoño,55,Argentina
,Fernando,Díaz,44,Argentina
,Nicolas,Gonzalez,24,Argentina
,Victor,Martínez,38,Chilena
,Sebastian,Rojas,65,Brasileña
Dr.,Fernando,Antonello,42,Uruguaya
,Bruno,González,65,Chilena
,Camilo,Rojas,35,Argentina
,Julián,Aguirre,54,Argentina
,Damian,Sánchez,33,Otra
,Ernesto,Pérez,24,Uruguaya
,Federico,Mendoza,59,Argentina
,Benjamin,Martínez,44,Uruguaya
,Renato,Aristizabal,40,Otra
,Alexander,Casullo,22,Brasileña
Lic.,Thomas,Martín,43,
,Eric,González,54,Chilena
,Luciano,Fanon,20,Uruguaya
,Bastian,Fanon,18,Brasileña
,Thomas,Martínez,41,Uruguaya
,Vicente,Antonello,59,Brasileña
,Lucas,Viey,19,Otra
,Jorge,Pérez,48,Chilena
,Renato,Rivadavia,49,Argentina
,Esteban,Gómez,33,Brasileña
,Angel,Alzate,24,Argentina
,Carlos,Muñoz,34,Brasileña
,Emilio,Mendoza,57,Uruguaya
,Matias,Pérez,60,Otra
,Sebastian,Muñoz,40,Uruguaya
,Gabriel,González,21,Brasileña
,Jonás,Martínez,25,Argentina
,Benjamin,Aristizabal,20,Brasileña
,Jorge,López,47,Chilena
,Maximo,Perez,33,Chilena
,Gustavo,Licastro,28,Uruguaya
,Lucas,Ramirez,58,Brasileña
,Jonás,López,39,Uruguaya
,Juan,Martínez,34,Argentina
,Maximiliano,Aguirre,29,Chilena
,Franco,Soto,42,Uruguaya
,Eric,González,55,Uruguaya
,Jorge,Centenera,18,Otra
,Juan,González,62,Chilena
,Carlos,Soto,44,Otra
,Renato,Cardona,61,Argentina
,Alexander,López,29,Uruguaya
,Néstor,Rodríguez,45,
,Eric,Sanchez,62,Brasileña
,Leandro,Antonello,42,Chilena
,Juan,Soto,41,Chilena
,David,Rodríguez,36,Chilena
,Rodrigo,Viey,35,Uruguaya
,Néstor,Muñoz,41,Chilena
Prof.,Martin,López,65,Otra
,Ignacio,García,55,Argentina
,Pablo,Castro,59,
,Federico,Muñoz,44,Chilena
,Matias,Rodríguez,61,Otra
,Ignacio,Castañeda,56,Argentina
,Felipe,Fanon,63,Uruguaya
,Gabriel,Silva,32,Uruguaya
,Lucas,Castañeda,21,Chilena
,Gabriel,Sepúlveda,55,Argentina
,Alexis,Fertuchelli,48,Brasileña
,Sebastian,Centenera,51,Argentina
,Ignacio,Sánchez,24,Argentina
,Julián,López,53,Uruguaya
Ing.,Fidel,Pérez,31,Chilena
,Agustin,Matas,36,Brasileña
,Matias,Centenera,45,Otra
,Nicolas,Díaz,33,Chilena
,Martín,Gómez,29,
,Andrés,Nicastro,39,Brasileña
,Maximo,Montoya,35,Chilena
,Alexander,Castañeda,38,Brasileña
,Alexander,González,32,Chilena
,Luciano,Mango,21,Uruguaya
,Gustavo,Mactas,57,Argentina
,Jorge,Fernández,47,Argentina
,Agustin,López,37,
,Jorge,Gonzalez,58,Argentina
,Gustavo,Fanon,64,Otra
,Bastian,Licastro,29,Brasileña
Ing.,Javier,Nicastro,29,Chilena
Dr.,Bruno,Díaz,32,Chilena
,Luis,Pérez,24,Brasileña
,Matias,Soto,19,Otra
Ing.,Daniel,Gutierrez,39,Otra
,Abel,Mango,65,Argentina
,Julian,Díaz,21,Chilena
,Vicente,Fernández,48,Brasileña
,Rodrigo,Cardona,48,Brasileña
,Martín,Gómez,19,Chilena
Dr.,Tomas,Licastro,19,Uruguaya
,Cristian,Soto,51,Brasileña
,Felipe,Rodríguez,54,Otra
,Fernando,Licastro,27,Uruguaya
,Juan,Nicastro,35,Brasileña
,Alonso,Marchet,28,Otra
,Pablo,Rodríguez,58,Chilena
,Fidel,Fanon,65,Brasileña
,Carlos,Castro,20,Argentina
,Bastian,Viey,30,Chilena
,Thomas,Fernández,59,Brasileña
,Ignacio,Perez,44,Brasileña
Ing.,Amaro,Sepúlveda,26,
,Matias,Fabricci,49,Brasileña
,Martin,Díaz,35,Uruguaya
,Lucas,Rodríguez,33,Brasileña
Prof.,Juan,Martínez,19,Chilena
,Damian,Soto,23,Argentina
,Francisco,Marchet,60,Chilena
,Felipe,Ramirez,54,Brasileña
,Leandro,Gómez,23,Argentina
,Benjamin,Orondo,36,Brasileña
,Gustavo,Antonello,51,Uruguaya
,Santiago,Gómez,45,Chilena
Ing.,Maximo,Martínez,44,Chilena
Lic.,Diego,Lupo,57,Brasileña
Dr.,Pablo,García,24,Argentina
,Javier,González,24,Chilena
,Carlos,Martínez,34,Brasileña
,Jonás,García,48,Argentina
,Néstor,González,43,Argentina
Ing.,Ernesto,Soto,38,Chilena
,Rodolfo,Licastro,22,Brasileña
,Jose,Rojas,53,Brasileña
,Abel,Contreras,27,Uruguaya
,Alonso,Cardona,52,Chilena
,Amaro,González,40,Argentina
,Lucas,Gonzalez,20,Argentina
,Maximiliano,Sánchez,29,Chilena
Ing.,Juan,Fernández,30,
,Juan,Orondo,19,Otra
Lic.,Vicente,Aristizabal,54,Uruguaya
,Tomas,Pérez,32,Brasileña
,Alexander,Rodríguez,58,Chilena
,Carlos,Fabricci,49,Brasileña
,Victor,Soto,44,Argentina
,Diego,Mactas,32,Otra
,Nicolas,Rodríguez,47,Chilena
,Alexis,Rodríguez,31,Chilena
,Luis,González,19,Uruguaya
,Julián,Mango,51,Uruguaya
,Maximo,Hernández,47,Chilena
Ing.,Andrés,Riglos,43,Otra
,Ernesto,Contreras,44,Chilena
,Jorge,Gutierrez,57,Brasileña
,Maximiliano,García,43,Otra
,Joaquin,Díaz,38,Brasileña
,Rodrigo,Sacado,28,Uruguaya
,Camilo,Montoya,49,Uruguaya
,Francisco,García,61,Chilena
,Bastian,Mactas,50,Uruguaya
,Alonso,Fertuchelli,53,Chilena
,Fidel,Centenera,65,Chilena
,Martin,Viey,58,Uruguaya
,Lucas,Ramirez,26,Otra
Dr.,Pablo,Fertuchelli,33,Uruguaya
,Victor,Mendoza,49,Chilena
Ing.,Julio,Fernández,31,Uruguaya
,Sebastian,Perez,56,Argentina
,Cristian,Licastro,34,Argentina
Lic.,Julián,Matas,51,Argentina
,Martin,Matas,34,Argentina
Lic.,Esteban,González,18,Brasileña
,Damian,Sánchez,29,Chilena
,Sebastian,Sánchez,55,Uruguaya
,Lucas,Lupo,27,Otra
,Matias,García,44,Otra
,Francisco,Mactas,54,Uruguaya
Dr.,Fernando,Cardona,46,Argentina
,Lucas,Pérez,25,Chilena
,Julián,Alsina,39,Chilena
Ing.,Gustavo,Rodríguez,43,Otra
Prof.,Maximiliano,García,43,Brasileña
,Emilio,Orondo,18,Brasileña
,Nicolas,Rodríguez,33,Argentina
,Juan,Sánchez,42,Chilena
,Lucas,Fanon,27,Otra
,Nicolas,Mango,64,Brasileña
,Matias,Lupo,19,Uruguaya
,Luciano,Gutierrez,51,Uruguaya
,Néstor,Fanon,63,Argentina
,Emilio,Gómez,43,Chilena
,Matias,Mactas,36,
Ing.,Pablo,Pérez,33,Brasileña
,Martin,Rodríguez,43,Chilena
,Fidel,Fernández,59,Brasileña
,Diego,Castro,20,Uruguaya
Lic.,Benjamin,Fertuchelli,24,Uruguaya
,Camilo,Gonzalez,45,Otra
,Victor,Muñoz,27,Brasileña
Dr.,Joaquin,Castañeda,24,Otra
,Néstor,Casullo,59,Chilena
,Julian,Martín,56,
,Camilo,Sánchez,55,Argentina
Dr.,Jose,Gómez,21,Brasileña
,Federico,García,47,Brasileña
,Damian,Antonello,26,Chilena
,Julio,Aguirre,44,Uruguaya
,Francisco,Sánchez,41,Brasileña
,Maximiliano,Alsina,53,Uruguaya
,David,Rojas,45,Chilena
,Julio,Martínez,57,Uruguaya
,Jose,Alsina,63,Uruguaya
,Bruno,Fertuchelli,32,Chilena
,Julián,González,20,
,Francisco,Rodríguez,24,Brasileña
,Martín,Fernández,38,Argentina
,Jorge,Gutierrez,47,Chilena
,Mateo,Sánchez,62,Chilena
,Fidel,Pérez,27,Chilena
,Thomas,Sánchez,29,Brasileña
,Joaquin,Cardona,28,Uruguaya
Dr.,Thomas,Gutierrez,50,Uruguaya
,Rodolfo,Matas,55,Uruguaya
,Julián,Aguirre,47,
,Bastian,Rodríguez,59,Chilena
,Jose,Pérez,44,Otra
Lic.,Francisco,Gómez,25,Argentina
Lic.,Benjamin,Fanon,27,Uruguaya
,Jose,Flores,28,Uruguaya
,Maximiliano,García,47,Chilena
,Lucas,Rodríguez,61,Chilena
,Ernesto,García,19,Otra
,Pablo,Flores,53,Argentina
,Bastian,Gómez,46,Uruguaya
,Lucas,Sepúlveda,60,Otra
,Eric,Martínez,28,Argentina
,Matias,González,55,Argentina
,Sebastian,Viey,47,Otra
,Federico,Martín,26,Chilena
,Juan,Orondo,37,Chilena
,Damian,Fabricci,31,Otra
,Alexander,López,21,Brasileña
Lic.,Ignacio,Centenera,57,
,Felipe,Sacado,48,Chilena
,Juan,Pérez,38,Brasileña
,Leandro,Gómez,38,Brasileña
Ing.,Leandro,Londoño,62,Argentina
,Victor,Castañeda,33,
,Fidel,Gonzalez,35,Argentina
,Matias,González,62,Argentina
,Renato,Díaz,46,Otra
,Rodrigo,López,51,Argentina
,Alexander,Castañeda,34,Uruguaya
,Jose,Londoño,18,Brasileña
,Thomas,Ramirez,22,Argentina
Dr.,Jose,Antonello,28,Argentina
,Alexis,Gómez,25,Brasileña
Lic.,Eric,Mango,23,Otra
,Rodrigo,Gómez,58,Chilena
,Luciano,Mango,37,Brasileña
,Néstor,Rodríguez,24,Uruguaya
,Pablo,Muñoz,19,Uruguaya
,Francisco,López,37,Chilena
,Felipe,Lupo,48,Chilena
,Gabriel,Martín,39,Argentina
,Sebastian,Perez,45,
Lic.,Gaspar,González,48,Uruguaya
Lic.,Leandro,Aristizabal,23,Argentina
,Gaspar,Rodríguez,33,
,Amaro,Montoya,58,Chilena
Lic.,Jorge,Rodríguez,28,Uruguaya
Ing.,Emilio,Sánchez,31,Otra
,Renato,Rojas,52,Brasileña
,Jorge,Fernández,27,Otra
,Renato,Aristizabal,64,
Dr.,Tomas,Marchet,20,Uruguaya
Lic.,Sebastian,Gómez,44,Brasileña
,Daniel,Flores,62,Argentina
,Juan,Guevara,53,Chilena
,Matias,Gutierrez,33,Brasileña
,Jorge,Guevara,41,Brasileña
,Felipe,Amenabar,37,Brasileña
,Leandro,Centenera,58,Argentina
Lic.,Andrés,Alzate,47,Uruguaya
Lic.,Francisco,Rodríguez,56,Brasileña
Ing.,Leandro,Amenabar,64,Chilena
,Ernesto,López,61,Brasileña
,Felipe,Ramirez,23,Uruguaya
,Juan,Rojas,64,Argentina
,Camilo,Pérez,64,Brasileña
,Abel,Silva,65,Argentina
,Benjamin,Sacado,32,Brasileña
,Fernando,Montoya,53,Brasileña
,Nicolas,Mango,64,Brasileña
,Jonás,Cardona,63,
